pmid	author	order
27659785	Yue_Liu	2
27659785	Yingjiang_Ye	3
27659785	Danhua_Shen	4
27659785	Hui_Zhang	5
27659785	Hongyan_Huang	6
27659785	Sha_Li	7
27659785	Shan_Wang	8
27659785	Jun_Ren	9
27659347	Gaiping_Wang	1
27659347	Shasha_Chen	2
27659347	Congcong_Zhao	3
27659347	Xiaofang_Li	4
27659347	Weiming_Zhao	5
27659347	Jing_Yang	6
27659347	Cuifang_Chang	7
27659347	Cunshuan_Xu	8
27658825	Sirwan_M_Hadad	1
27658825	Lee_B_Jordan	2
27658825	Pankaj_G_Roy	3
27658825	Colin_A_Purdie	4
27658825	Takayuki_Iwamoto	5
27658825	Lajos_Pusztai	6
27658825	Stacy_L_Moulder-Thompson	7
27658825	Alastair_M_Thompson	8
27644562	Saki_Saijo	1
27644562	Yuki_Kuwano	2
27644562	Kiyoshi_Masuda	3
27644562	Tatsuya_Nishikawa	4
27644562	Kazuhito_Rokutan	5
27644562	Kensei_Nishida	6
27642623	Mark_G_Athanason	1
27642623	Stanley_M_Stevens	2
27642623	Brant_R_Burkhardt	3
27636589	Jingjing_Wang	1
27636589	Xiao_Song	2
27636589	Chengli_Guo	3
27636589	Ying_Wang	4
27636589	Yanhui_Yin	5
27635260	Sue-Jie_Koo	1
27635260	Heidi_M_Spratt	2
27635260	Kizhake_V_Soman	3
27635260	Susan_Stafford	4
27635260	Shivali_Gupta	5
27635260	John_R_Petersen	6
27635260	Maria_P_Zago	7
27635260	Muge_N_Kuyumcu-Martinez	8
27635260	Allan_R_Brasier	9
27635260	John_E_Wiktorowicz	10
27635260	Nisha_Jain_Garg	11
27635087	Matthew_J_Butcher	1
27635087	Adam_R_Filipowicz	2
27635087	Tayab_C_Waseem	3
27635087	Christopher_McGary	4
27635087	Kevin_J_Crow	5
27635087	Nathaniel_Magilnick	6
27635087	Mark_Boldin	7
27635087	Patric_S_Lundberg	8
27635087	Elena_Galkina	9
27626938	Yue_Ge	1
27626938	Maribel_Bruno	2
27626938	Najwa_Haykal-Coates	3
27626938	Kathleen_Wallace	4
27626938	Debora_Andrews	5
27626938	Adam_Swank	6
27626938	Witold_Winnik	7
27626938	Jeffrey_A_Ross	8
27626164	Yingzi_Qi	1
27626164	Feng_Xu	2
27626164	Lingsheng_Chen	3
27626164	Yanchang_Li	4
27626164	Zhongwei_Xu	5
27626164	Yao_Zhang	6
27626164	Wei_Wei	7
27626164	Na_Su	8
27626164	Tao_Zhang	9
27626164	Fengxu_Fan	10
27626164	Xing_Wang	11
27626164	Xue_Qin	12
27626164	Lingqiang_Zhang	13
27626164	Yinkun_Liu	14
27626164	Ping_Xu	15
27614199	Uros_Midic	1
27614199	Kailey_A_Vincent	2
27614199	Catherine_A_VandeVoort	3
27614199	Keith_E_Latham	4
27612325	Beenu_Moza_Jalali	1
27612325	Pawel_Likszo	2
27612325	Dariusz_J_Skarzynski	3
27611787	Gianguido_Cossellu	1
27611787	Valeria_Motta	2
27611787	Laura_Dioni	3
27611787	Laura_Angelici	4
27611787	Luisella_Vigna	5
27611787	Giampietro_Farronato	6
27611787	Angela_Cecilia_Pesatori	7
27611787	Valentina_Bollati	8
27611643	Watcharapong_Naraballobh	1
27611643	Nares_Trakooljul	2
27611643	Eduard_Murani	3
27611643	Ronald_Brunner	4
27611643	Carsten_Krischek	5
27611643	Sabine_Janisch	6
27611643	Michael_Wicke	7
27611643	Siriluck_Ponsuksili	8
27611643	Klaus_Wimmers	9
27609758	Premila_Paiva	1
27609758	Michelle_G_Lockhart	2
27609758	Jane_E_Girling	3
27609758	Moshe_Olshansky	4
27609758	Nicole_Woodrow	5
27609758	Jennifer_L_Marino	6
27609758	Martha_Hickey	7
27609758	Peter_A_W_Rogers	8
27602906	Patrick_E_Georgoff	1
27602906	Ihab_Halaweish	2
27602906	Vahagn_C_Nikolian	3
27602906	Gerald_A_Higgins	4
27602906	Tess_Bonham	5
27602906	Celia_Tafatia	6
27602906	Henriette_Remmer	7
27602906	Rajasree_Menon	8
27602906	Baoling_Liu	9
27602906	Yongqing_Li	10
27602906	Hasan_B_Alam	11
27593565	Xianguang_Yang	1
27593565	Lin_Zhu	2
27593565	Weiming_Zhao	3
27593565	Yaohuang_Shi	4
27593565	Chuncui_He	5
